"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"2011","PINAL AMA","Indian","Supply","CAP","CAP","82676"
"1991","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","82465"
"1992","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","82465"
"1992","PINAL AMA","Recharge","Natural","","Groundwater Inflow","82423"
"1986","PINAL AMA","Recharge","Natural","","Groundwater Inflow","82378"
"2002","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","82335"
"2003","PINAL AMA","Recharge","Natural","","Groundwater Inflow","82284"
"2014","PINAL AMA","Indian","Supply","CAP","CAP","82270"
"1992","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","82208"
"2014","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","82201"
"2000","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","82004"
"1996","PINAL AMA","Indian","Supply","CAP","CAP","82000"
"2002","PINAL AMA","Indian","Supply","CAP","CAP","81920"
"2008","PINAL AMA","Recharge","Natural","","Groundwater Inflow","81881"
"1990","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","81843"
"1999","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","81832"
"2008","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","81679"
"1999","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","81519"
"2007","PINAL AMA","Recharge","Natural","","Canal Seepage","81359"
"2005","PINAL AMA","Recharge","Natural","","Groundwater Inflow","81115"
"2003","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","81108"
"1994","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","81085"
"2009","PINAL AMA","Recharge","Natural","","Groundwater Inflow","81046"
"2003","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","81020"
"1999","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","80899"
"1986","PINAL AMA","Indian","Demand","Indian","Agricultural","80840"
"2006","PINAL AMA","Recharge","Natural","","Groundwater Inflow","80699"
"2001","PINAL AMA","Recharge","Natural","","Groundwater Inflow","80688"
"2004","PHOENIX AMA","Recharge","Natural","","Canal Seepage","80646"
"2015","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","80627"
"2013","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","80553"
"1997","PINAL AMA","Recharge","Natural","","Canal Seepage","80358"
"1990","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","80216"
"1988","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","80098"
"2004","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","80074"
"1994","PINAL AMA","Indian","Supply","CAP","CAP","80000"
"2004","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","79866"
"2000","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","79750"
"1993","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","79431"
"2007","PINAL AMA","Recharge","Natural","","Groundwater Inflow","79335"
"2001","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","79244"
"2001","PHOENIX AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","79207"
"2001","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","79183"
"2016","PINAL AMA","Agricultural","Supply","Surface Water","Surface Water","79055"
"2012","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","78976"
"1993","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","78915"
"2004","PHOENIX AMA","Agricultural","Supply","CAP","CAP","78821"
"2008","PINAL AMA","Indian","Supply","CAP","CAP","78812"
"2000","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","78727"
"1985","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","78557"
"1995","PHOENIX AMA","Municipal","Supply","Spill","Spill","78508"
"1998","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","78435"
"2012","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","78425"
"1987","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","78340"
"2014","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","78258"
"2006","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2007","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2008","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2009","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2010","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2011","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2012","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2013","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2014","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2015","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2016","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"2017","PHOENIX AMA","Recharge","Natural","","Canal Seepage","78236"
"1992","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","78001"
"2006","PINAL AMA","Indian","Supply","CAP","CAP","78000"
"2008","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","77848"
"2003","PINAL AMA","Indian","Supply","CAP","CAP","77800"
"2010","PINAL AMA","Indian","Supply","CAP","CAP","77622"
"1995","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","77595"
"1990","PHOENIX AMA","Agricultural","Supply","CAP","CAP","77574"
"2000","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","77484"
"2018","PINAL AMA","Indian","Supply","CAP","CAP","77448"
"1995","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","77211"
"1993","PINAL AMA","Indian","Supply","CAP","CAP","77000"
"2013","PINAL AMA","Recharge","Natural","","Groundwater Inflow","76891"
"2011","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","76868"
"2004","PINAL AMA","Indian","Supply","CAP","CAP","76840"
"1990","PHOENIX AMA","Indian","Incidental Recharge","","Incidental Recharge","76589"
"1998","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","76563"
"2005","PHOENIX AMA","Recharge","Natural","","Canal Seepage","76440"
"2002","PHOENIX AMA","Recharge","Natural","","Canal Seepage","76280"
"1989","PHOENIX AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","76208"
"1995","PINAL AMA","Indian","Supply","CAP","CAP","76000"
"1988","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","75898"
"2010","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","75881"
"2003","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","75876"
"1986","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","75793"
"2016","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","75720"
"2014","PINAL AMA","Recharge","Natural","","Groundwater Inflow","75596"
"2012","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","75475"
"2008","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","75432"
"2013","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","75415"
"2015","PINAL AMA","Recharge","Natural","","Groundwater Inflow","75343"
"2004","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","75326"
"2002","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","75223"
"2012","PINAL AMA","Recharge","Natural","","Groundwater Inflow","75223"
"2017","PINAL AMA","Indian","Supply","CAP","CAP","75219"
"1996","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","75157"
"2011","PINAL AMA","Recharge","Natural","","Groundwater Inflow","75153"
"2018","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","75087"
"2004","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","75049"
"2010","PINAL AMA","Recharge","Natural","","Groundwater Inflow","75022"
"2017","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","74945"
"2017","PHOENIX AMA","Municipal","Supply","CAP","Recovered CAP","74884"
"2011","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","74722"
"2017","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","74678"
"1987","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","74670"
"1988","PHOENIX AMA","Municipal","Supply","CAP","CAP","74557"
"1988","PHOENIX AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","74541"
"2006","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","74519"
"2011","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","74344"
"2016","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","74268"
"2003","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","74262"
"1991","PHOENIX AMA","Municipal","Supply","CAP","CAP","74187"
"1985","SANTA CRUZ AMA","Recharge","Natural","","Streambed Actual","74023"
"1993","SANTA CRUZ AMA","Recharge","Natural","","Streambed Actual","74023"
"2001","PHOENIX AMA","Recharge","Natural","","Canal Seepage","73909"
"1996","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","73887"
"2015","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","73859"
"2015","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","73768"
"2001","PHOENIX AMA","Agricultural","Supply","CAP","CAP","73758"
"2010","PINAL AMA","Recharge","Natural","","Canal Seepage","73527"
"1992","PINAL AMA","Agricultural","Supply","CAP","CAP","73520"
"2014","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","73449"
"2007","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","73422"
"1997","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","73264"
"2013","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","73040"
"2002","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","72768"
"2006","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","72765"
"2012","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","72630"
"1989","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","72584"
"2001","PINAL AMA","Recharge","Natural","","Canal Seepage","72494"
"2009","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","72357"
"2011","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","72221"
"2007","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","72052"
"2000","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","72033"
"1991","PINAL AMA","Indian","Supply","CAP","CAP","72000"
"1997","PINAL AMA","Indian","Supply","CAP","CAP","72000"
"2005","PINAL AMA","Indian","Supply","CAP","CAP","72000"
"2006","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","71876"
"2010","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","71810"
"1986","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","71644"
"2008","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","71344"
"2016","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","71331"
"2010","PHOENIX AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","71282"
"1988","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","71194"
"1998","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","71166"
"1992","PINAL AMA","Indian","Supply","CAP","CAP","71000"
"2005","TUCSON AMA","Municipal","Supply","CAP","Recovered CAP","70960"
"2007","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","70879"
"1985","TUCSON AMA","Municipal","Demand","Municipal","Large Provider Residential Deliveries","70534"
"1998","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","70490"
"1999","PINAL AMA","Agricultural","Supply","CAP","GSF (CAP)","70490"
"1999","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","70478"
"2000","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","70390"
"2015","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","70373"
"1991","PINAL AMA","Recharge","Natural","","Canal Seepage","70361"
"2001","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","70333"
"2009","PINAL AMA","Recharge","Natural","","Canal Seepage","70274"
"2001","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","69939"
"2006","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","69584"
"2005","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","69272"
"1985","PHOENIX AMA","Industrial","Supply","Groundwater","Groundwater","69229"
"2017","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","69213"
"2015","SANTA CRUZ AMA","Recharge","Natural","","Streambed Actual","69173"
"2001","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","69062"
"2002","PHOENIX AMA","Industrial","Supply","Effluent","Effluent","69011"
"1999","PINAL AMA","Indian","Supply","CAP","CAP","69000"
"2000","PINAL AMA","Indian","Supply","CAP","CAP","69000"
"2004","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","68932"
"2001","PHOENIX AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","68870"
"2010","PINAL AMA","Recharge","Natural","","Streambed Actual","68848"
"2014","TUCSON AMA","Recharge","Natural","","Streambed Intermittent Average","68822"
"1999","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","68782"
"2009","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","68745"
"2007","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","68522"
"2005","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","68452"
"2010","PHOENIX AMA","Indian","Supply","Groundwater","Groundwater","68447"
"2005","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","68309"
"1990","PHOENIX AMA","Indian","Supply","Surface Water","Surface Water","68065"
"2004","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","68026"
"2015","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","68010"
"2012","PHOENIX AMA","Indian","Supply","CAP","CAP","67782"
"2009","PHOENIX AMA","Municipal","Population","Municipal","AMA Exempt Well Population","67528"
"2000","PRESCOTT AMA","Municipal","Population","Municipal","Large Municipal Provider Population","67517"
"2012","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","67155"
"1996","PINAL AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","67124"
"2002","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","67117"
"1990","PINAL AMA","Indian","Supply","CAP","CAP","67000"
"2014","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","66812"
"1999","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","66687"
"2013","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","66531"
"1998","PINAL AMA","Municipal","Population","Municipal","Large Municipal Provider Population","66500"
"1986","PHOENIX AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","66109"
"2009","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","65891"
"2008","PHOENIX AMA","Municipal","Incidental Recharge","","Incidental Recharge","65844"
"2002","PHOENIX AMA","Industrial","Demand","Industrial","Power Generation Facilities","65824"
